시험명,시험 방법,시험 기준,시험 기간,시험 결과,검수 결과
성상,자가지시(육안관찰),투명 또는 약간 탁한 무색 혹은 황색의 액상,2025.05,적합,검수합격
무균시험,유럽약전(멤브레인필터법),균이 확인되지 않아야 함,2025.05,적합,검수합격
PH측정시험,대한민국약전(pH측정법),7.5 ~ 8.5,2025.05,7.8,검수합격
단백질함량시험,유럽약전(자외선흡광도법(A280법)),"6,200 μg/mL 이상",2025.05,"6,194 μg/mL",검수불합격
순도시험(SDS-PAGE),자가지시(전기영동시험법(SDS-PAGE)),90% 이상,2025.05,91%,검수합격
순도시험(CE-SDS),자가지시(CE-SDS시험법),90% 이상,2025.05,89%,검수불합격
확인시험,"자가지시(Dot 시험법)
Blot",발색된 점이 확인되어야 함,2025.05,적합,검수합격
엔도톡신시험,유럽약전(비탁법),20 EU/mL 미만,2025.05,125 EU/mL,검수불합격
잔류 숙주세포 유래 단백질시험,자가지시(효소면역측정법),50 μg/mg of protein 미만,2025.05,55 μg/mg of protein,검수불합격
잔류 숙주세포 유래 DNA시험,자가지시(실시간 중합효소연쇄반응(q-PCR)법),15 ng/mg of protein 미만,2025.05,15 ng/mg of protein,검수불합격
