시험명,시험 방법,시험 기준,시험 기간,시험 결과,검수 결과
성상,자가지시(육안관찰),투명 또는 약간 탁한 무색 혹은 황색의 액상,2025.06,적합,검수합격
무균시험,유럽약전(멤브레인필터법),균이 확인되지 않아야 함,2025.06,적합,검수합격
PH측정시험,대한민국약전(pH측정법),7.0 ~ 8.0,2025.06,7.1,검수합격
단백질함량시험,유럽약전(자외선흡광도법(A280법)),610 μg/mL 이상,2025.06,600 μg/mL,검수불합격
순도시험(SDS-PAGE),자가지시(전기영동시험법(SDS-PAGE)),순도는 90%이상,2025.06,85%,검수불합격
순도시험(CE-SDS),자가지시 (CE-SDS시험법),순도는 90% 이상,2025.06,98%,검수합격
확인시험,자가지시 (Dot Blot 시험법),발색된 점이 확인되어야 함,2025.06,적합,검수합격
엔도톡신시험,유럽약전(비탁법),820 EU/mg of protein미만,2025.06,819 EU/mg of protein,검수합격
잔류 숙주세포 유래 단백질시험,자가지시(효소면역측정법),50 μg/mg of protein 미만,2025.06,42 μg/mg of protein,검수합격
잔류 숙주세포 유래 DNA시험,자가지시(실시간 중합효소연쇄반응(q-PCR)법),15 ng/mg of protein 미만,2025.06,13 ng/mg of protein,검수합격
박테리오파지부정시험,자기지시 (q-PCR법),"Z, B, P 유전자 중 1종 이상이 정량한계(0.0050 pg/μL)
미만",2025.06,"Z, B, P 유전자 모두 정량한계 미만 (0.0050 pg/μL 미만)",검수합격
