시험명,시험 방법,시험 기준,시험 기간,시험 결과,검수 결과
성상,자가지시(육안관찰),투명 또는 약간 탁한 무색 혹은 황색의 액상,2025.07,적합,검수합격
무균시험,유럽약전(멤브레인필터법),균이 확인되지 않아야 함,2025.07,적합,검수합격
PH측정시험,대한민국약전(pH측정법),7.5 ~ 8.5,2025.07,7.9,검수합격
단백질함량시험,유럽약전(자외선흡광도법(A280법)),470 μg/mL 이상,2025.07,471 μg/mL,검수합격
항원함량시험,자가지시(효소면역측정법(inhibition ELISA)),180 μg/mL 이상,2025.07,190 μg/mL,검수합격
순도시험(CE-SDS),자가지시(전기영동시험법(SDS-PAGE)),순도는 90% 이상이어야 함,2025.07,92%,검수합격
순도시험(SE-HPLC),자가기시(SE-HPLC시험법),"1) 총 피크 면적에 대하여 응집된 나노파티클
피크와 단일나노파티클 피크 면적의 합을
백분율로 나타내었을 때 35% 이상이어야 함
2) 총 피크 면적에 대하여 LMW 피크*의
면적을 백분율로 나타내었을 때 65%
이하이어야 함
* L크: 총 피크 면적 중 피크를 제외한 component A,
component
B 등의 피크",2025.07,60%,검수불합격
확인시험,자가지시(Dot Blot시험법),"Com A, Com B 각각의 발색된 점이 확인되어야 함",2025.07,적합,검수합격
엔도톡신,유럽약전(비탁법),"1,480 EU/mg of protein 미만",2025.07,1490 EU/mg of protein,검수불합격
입자크기측정시험,자가지시(동적 광산란법),27 ~ 88 nm,2025.07,78 nm,검수합격
폴리소르베이트80함량시험,자가지시(HPLC법),0.01 ~ 0.05%,2025.07,0.03%,검수합격
