시험명,시험 방법,시험 기준,시험 기간,시험 결과,검수 결과
성상,자가지시(육안관찰),무색투명한 바이알에 충전된 무색투명 또는 약간 탁한 액상,2025.09,적합,검수합격
PH측정시험,대한민국약전(pH측정법),7.5 ~ 8.5,2025.09,8.5,검수합격
무균시험,유럽약전(엠브레인필터법),균이 확인되지 않아야 함,2025.09,적합,검수합격
엔도톡신시험,유럽약전(비탁법),100 EU/dose 미만,2025.09,99 EU/dose,검수합격
삼투압시험,유럽약전(삼투압측정법),671.9 mOsm/kg ~ 716.1 mOsm/kg,2025.09,691.9 mOsm/kg,검수합격
순도시험(CE-SDS),자가지시(CE-SDS시험법),순도는 90% 이상,2025.09,91%,검수합격
순도시험(SE-HPLC),자가기시(SE-HPLC시험법),"1) 총 피크 면적에 대하여 응집된 나노파티클 피크와
단일나노파티클 피크 면적의 합을 백분율로
나타내었을 때 25% 이상이어야 함
2) 총 피크 면적에 대하여 LMW 피크*의 면적을
백분율로 나타내었을 때 75% 이하이어야 함
* LMW 피크: 총 피크 면적 중 component A, component
B 등의 피크",2025.09,"15%, 80%",검수불합격
단백질함량시험,자가지시 (단백질 정량법(micro BCA법)),189 ~ 351 μg/mL,2025.09,200 μg/mL,검수합격
항원함량시험,자가지시(효소면역측정법(inhibition ELISA)),40 ~ 113 μg/mL,2025.09,100 μg/mL,검수합격
확인시험,자가지시(Dot Blot시험법),"Com A, Com B 각각의 발색된 점이 확인되어야 함",2025.09,적합,검수합격
주사제의 불용성미립자시험,"대한민국약전[주사제의 불용성미립자시험법(제1법
광차폐입자계수법)]","용기당 10 μm 이상 : 6,000개 이하,
용기당 25 μm 이상: 600개 이하",2025.09,"5,000개, 5,00개",검수합격
불용성이물시험,대한민국약전[불용성이물실험법(주사제 제 1법)],이물이 없어야 함,2025.09,적합,검수합격
주사제 실용량시험,자가지시(실용량시험법),"각 주사통에서 얻은 채취용량은 표시된 1회 투여량
이상(0.25 mL 이상)",2025.09,0.35mL,검수합격
입자크기측정시험,자가지시(동적광산란법),27 ~ 88 nm,2025.09,54 nm,검수합격
